name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info
Shelby County Treatment Center,,750 Highway 31 South,,Alabaster,AL,35007,205-216-0200,,,,,SA DT SUMH * OP OD OIT OMB ORT * MU BU NU * PMAT * AUINPE AURPE AUPC * DB BUM OTP DM MM UB UN MWS * ACM DSF METH BSDM BWN BWON BERI NXN VTRL MHIV MHCV LFXD CLND MMD NRT NSC * ANG BIA CBT CMI MOTI MXM RELP SACA TELE TRC TWFA * PVTP * STAG STMH CARF SOTP DEA * FSA MC MD PI SF SAMF * PA SS * TAY WN PW MN SE GL VET ADM MF CJ CO COPSU HV XA DV TRMA * CMHA CSAA ISC OPC MHPA STU SSA SMHD PIEC * BABA DAOF DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * SHG HS AOSS RC PEER EMP * TOD * ADTX BDTX CDTX MDTX ODTX MDET * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO VOC * HAV HBV * SMPD * YAD ADLT * FEM MALE * DU * AH SP FX * F47 * VPPD * CM DVFP EIH MHS SSD TA SPS
Lighthouse of Tallapoosa County Inc,Substance Abuse Rehab Program/Resid,36 Franklin Street,,Alexander City,AL,35010,256-234-4894,,,,,SA HH SUMH * RES RL * BU * RPE PC * ACMA PMAT * AURPE AUPC * MOA * NRT * ANG BIA CBT CMI MOTI MXM RELP SACA TRC TWFA * PVTN * STAG STMH FQHC * FSA SF SAMF * MN * ISC OPC STU PIEC * BABA DAOF DAUT HIVT TBS HBT HCT * ACC DP NOE OFD * SHG HS AOSS RC PEER * HAEC TAEC HEOH SAE TCC ICO GCO FCO VOC * SMPD * YAD ADLT SNR * MALE * AH * VPPD * CM EIH SSD TA
South Central Alabama MHC,Montezuma Complex,205 Academy Drive,,Andalusia,AL,36420,334-428-5050,877-530-0002,,,,SA * RES RS * PC * ACMA * AUPC * MOA * CBT SACA TWFA * PVTN * STMH * FSA SF SAMF * PA SS * MN * CSAA STU * DAUT TBS * ACC DP OFD * SHG AOSS PEER * HAEC TAEC HEOH SAE ICO GCO FCO * SMPD * YAD ADLT SNR * MALE * AH * VPPD * MHS IPC
Anniston Fellowship House Inc,,106 East 22nd Street,,Anniston,AL,36201,256-236-7229,,,,,SA HH * RES RL * RPE PC * ACMA * AURPE * MOA * ANG BIA CBT CMI MOTI MXM RELP SACA TELE TRC TWFA * PVTN * STAG STMH * FSA SF SAMF * MN * CSAA ISC OPC STU SSA * BABA DAOF DAUT HIVT TBS HCT * ACC DP NOE OFD * AOSS PEER EMP * TGD * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO * SMPD * YAD ADLT SNR * MALE * AH * VPPD * CM EIH SSD
Highland Health Systems,New Directions,331 East 8th Street,,Anniston,AL,36207,256-236-8003,256-236-8003 x0,,,,SA SUMH * OP OIT ORT * PC * ACMA * AUPC * MOA * MMD * ANG BIA CBT MOTI MXM RELP SACA TELE TRC TWFA * PVTN * STAG STMH * FSA MD PI SF SAMF * PA SS * CJ CO * CSAA ISC OPC STU SSA SMHD * DAOF DAUT TBS * ACC DP NOE OFD * HS AOSS RC PEER EMP * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO VOC * SMPD * YAD ADLT * FEM MALE * DU * AH SP * VPPD * CM EIH MHS SSD TA IPC SPS
Client Care Continuum LLC,,200 County Road 3941,,Arley,AL,35541,205-287-5951,,,,,SA SUMH * RES RL RS * NU * PMAT * AURPE * UN RPN * NXN VTRL CLND MMD NRT NSC * ANG CBT CMI MOTI RELP SACA TELE TRC * PVTP * STMH CARF * MI PI * WN PW MN SE VET ADM CJ CO COPSU XA TRMA * CSAA OPC MHPA STU SSA SMHD * BABA DAOF DAUT TBS * DP NOE OFD * HS AOSS PEER * TGD * TAEC HEOH SAE TCC ICO GCO FCO MCO * SMPD * YAD ADLT * FEM MALE * VPPD * CM MHS SSD SPS
Journey Detox and Recovery LLC,,83825 Highway 9,,Ashland,AL,36251,256-354-1121,,800-583-2197,,,SA DT * HI HID HIT * GH * BU * ACMA * AUPC * UB * BWON * SACA * PVTP * MC MD PI SF SI * CSAA OPC SSA * BABA DAUT HIVT TBS HBT HCT * DP NOE OFD * PEER * ADTX BDTX CDTX MDTX ODTX MDET * SAE ICO GCO * HAV HBV * SMPD * YAD ADLT * FEM MALE * VPPD * CM
Pathway Healthcare,,1005 West Market Street,Suite 8,Athens,AL,35613,256-464-2399,,,,,SA SUMH * OP OMB ORT * BU NU * PMAT * AUINPE * BUM UB UN * ACM DSF BWN BERI NXN VTRL MHCV LFXD CLND MMD NRT NSC * ANG BIA CBT CMI MOTI RELP SACA TELE TRC * PVTP * STDH JC * MC MI PI SF SI * CMHA CSAA MHPA STU SSA SMHD * BABA DAOF DAUT HIVT MST HBT HCT * ACC DP NOE OFD * HS AOSS * TGD TOD * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO * SMPD * YAD ADLT * FEM MALE * VPPD * CM MHS TA SPS
Cherokee Etowah Dekalb CMHC,Etowah County Office,425 5th Avenue NW,,Attalla,AL,35954,256-492-7800,,,,,SA SUMH * OP OIT ORT * RPE * ACMA * AURPE * MOA * ANG BIA CBT MOTI RELP SACA TELE TRC * PVTN * STAG STMH * FSA MD SAMF * SS * CMHA CSAA ISC OPC MHPA SSA SMHD PIEC * DAUT TBS * ACC DP OFD * AOSS * HAEC SAE TCC ICO GCO FCO * SMPD * YAD ADLT * FEM MALE * AH * VPPD * CM MHS SSD TA SPS
Family Life Center Inc,,677 West Covington Avenue,,Attalla,AL,35954,256-538-7458,,,,,SA * OP OIT ORT * RPE PC * ACMA * AURPE AUPC * MOA * ANG BIA CBT CMI MOTI MXM RELP SACA TELE TRC * PVTN * STAG STMH * FSA MD PI SF * PA SS * CSAA ISC OPC STU SSA SMHD * DAUT TBS * ACC DP NOE OFD * AOSS PEER * HAEC TAEC HEOH SAE TCC ICO GCO FCO * SMPD * YAD ADLT * FEM MALE * AH * VPPD * CM SSD
Family Life Center Inc,Rapha Treatment Center,677 West Covington Avenue,,Attalla,AL,35954,256-538-7458,,,,,SA * RES RL RS * RPE PC * ACMA * AURPE AUPC * MOA * ANG BIA CBT CMI MOTI MXM RELP SACA TELE TRC * PVTN * STAG STMH * FSA PI SF * PA SS * CSAA ISC OPC STU SSA SMHD * DAUT TBS * ACC DP NOE OFD * AOSS PEER * HAEC TAEC HEOH SAE TCC ICO GCO FCO * SMPD * YAD ADLT SNR * MALE * AH * VAPN * CM SSD
Bessemer Neighborhood,Health Center,2201 Arlington Avenue,,Bessemer,AL,35020,205-277-6878,,,,,SA * OP OMB ORT * BU NU * PMAT * AURPE * BUM UB UN RPN MWS * BWN VTRL MHIV MHCV MPEP * MXM RELP SACA TELE * PVTN * STMH FQHC * FSA MC MD PI SF SAMF * SS * MN * CSAA OPC MHPA STU SSA * DAOF DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * HS AOSS PEER * HAEC TAEC HEOH SAE TCC ICO GCO FCO * HAV HBV * SMPD * ADLT SNR * FEM MALE * VPPD * CM EIH SSD TA IPC SPS
BHG Bessemer Treatment Center,,4204 Edmonton Drive,,Bessemer,AL,35022,205-425-1200,205-572-4365,205-572-4357,,,SA SUMH * OP OMB ORT * MU BU NU * INPE RPE PC * NAUT * BUM OTP MM UN RPN MOA * METH BWN NXN * BIA CMI MOTI RELP SACA TELE TRC * PVTP * STAG STMH JC SOTP DEA * FSA MC MD PI SF SI SAMF * TAY WN PW MN SE GL VET ADM CJ CO HV XA DV TRMA * CSAA ISC OPC MHPA SSA * DAOF DAUT HIVT STDT * DP NOE * HS AOSS PEER * HAEC TAEC SAE ICO GCO * SMOP * YAD ADLT * FEM MALE * OUDO * VAPP * CM DVFP
