category_code,category_name,service_code,service_name,service_description
TC,Type of Care,SA,Substance use treatment,"Refers to a range of services, including problem identification and diagnosis, brief interventions, assessment of substance use and related problems, treatment planning, counseling, medical services, psychiatric services, psychological services, social services, and follow-up for persons with alcohol or other drug problems (Institute of Medicine, 1990)."
TC,Type of Care,DT,Detoxification  ,Treatment given to people who are addicted to drugs or alcohol in order to stop them from being addicted.
TC,Type of Care,HH,"Transitional housing, halfway house, or sober home","Housing for individuals recovering from substance abuse that is designed to provide a drug and alcohol-free living environment and appropriate support services to facilitate movement to independent living. Such housing includes transitional living, sober houses, sober living, recovery houses, and 3/4 houses."
TC,Type of Care,SUMH,Treatment for co-occurring substance use plus either serious mental health illness in adults/serious emotional disturbance in children,"Refers to treatment services intended to help their clients’ ability to function as a result of substance use and/or mental disorders. By definition, serious mental illness is someone over 18 having (within the past year) a diagnosable mental, behavior, or emotional disorder that causes serious functional impairment that substantially interferes with or limits one or more major life activities. For people under the age of 18, the term ‟Serious Emotional Disturbance” refers to a diagnosable mental, behavioral, or emotional disorder in the past year, which resulted in functional impairment that substantially interferes with or limits the child’s role or functioning in family, school, or community activities."
SET,"Service Setting (e.g., Outpatient, Residential, Inpatient, etc.)",HI,Hospital inpatient/24-hour hospital inpatient,Medical treatment that is provided in a hospital or other facility and requires at least one overnight stay. 
SET,"Service Setting (e.g., Outpatient, Residential, Inpatient, etc.)",OP,Outpatient ,Describes patients who receive treatment services without an overnight stay at a treatment facility or hospital.
SET,"Service Setting (e.g., Outpatient, Residential, Inpatient, etc.)",RES,Residential/24-hour residential,
SET,"Service Setting (e.g., Outpatient, Residential, Inpatient, etc.)",HID,Hospital inpatient detoxification,
SET,"Service Setting (e.g., Outpatient, Residential, Inpatient, etc.)",HIT,Hospital inpatient treatment,
SET,"Service Setting (e.g., Outpatient, Residential, Inpatient, etc.)",OD,Outpatient detoxification,
SET,"Service Setting (e.g., Outpatient, Residential, Inpatient, etc.)",ODT,Outpatient day treatment or partial hospitalization,
SET,"Service Setting (e.g., Outpatient, Residential, Inpatient, etc.)",OIT,Intensive outpatient treatment,
SET,"Service Setting (e.g., Outpatient, Residential, Inpatient, etc.)",OMB,Outpatient methadone/buprenorphine or naltrexone treatment,
SET,"Service Setting (e.g., Outpatient, Residential, Inpatient, etc.)",ORT,Regular outpatient treatment,
SET,"Service Setting (e.g., Outpatient, Residential, Inpatient, etc.)",RD,Residential detoxification,
SET,"Service Setting (e.g., Outpatient, Residential, Inpatient, etc.)",RL,Long-term residential,
SET,"Service Setting (e.g., Outpatient, Residential, Inpatient, etc.)",RS,Short-term residential,
